id,created_at,organization_id,organizationpillar_id,status,period,points,grade,activityDate,hoursSpent,submissionReleaseDate,completedDate,description,title,user_id,document_id,relatedFiles,verificationFiles,academicprogram_id,approvedPoints,feedback_id,datePerformed,activitySubmitted,activityApproved
771,1733276940312,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,2,0.13,0,"[""2024-11-20"",null]",2,,,"All of jkl ate Thanksgiving dinner and said what we were greatful for","Thanksgiving dinner",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.13,[[]],2024-11-20,,
772,1733277841962,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,2,0.06,0,"[""2024-12-02"",null]",1,,,"They taught us how sign up for a LinkedIn account and how it'll benefit us","YBA guest speaker",79f7938a-f5d9-40ac-b2cd-12066453bbd8,0,,,127,0.06,[[]],2024-12-02,,
773,1733352754021,b7d0dc33-c7dc-4f68-b21b-e6613463f000,479e824b-31a0-49c0-b770-2b218c03e7e1,Accepted,2,0.23077,0,"[""2024-11-25"",null]",4,,,"I helped set up and tear down/clean at the Thanksgiving Dinner.","Thanksgiving Dinner",47b644f2-0ed8-4cf3-8445-c7f2d9175359,0,,,124,0.15,[[]],2024-11-25,,
774,1733353964823,b7d0dc33-c7dc-4f68-b21b-e6613463f000,b6ed8fc3-ee34-437a-8e1f-c6cfe11d7492,Accepted,2,0.16,0,"[""2024-12-02""]",4,,,"After school I rehearsed how the upcoming concert  would play out (Order of band, choir, and orch; what the lights would look like; What songs we would play) with Choir and the rest of Orchestra.","Orchestra Tech Rehearsal",47b644f2-0ed8-4cf3-8445-c7f2d9175359,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/MLxoynPBEqemi_AgNf0Drn3JCjU\/Hkqw4Q..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/MLxoynPBEqemi_AgNf0Drn3JCjU\/Hkqw4Q..\/1785878.pdf""}]",,124,0.16,[[]],2024-12-02,,
775,1733354208795,b7d0dc33-c7dc-4f68-b21b-e6613463f000,b6ed8fc3-ee34-437a-8e1f-c6cfe11d7492,Accepted,2,0.13,0,"[""2024-12-03"",null]",3.3,,,"I played at a combined concert with Orchestra, Band, Choir, and Tonelea Middle School's Orchestra/Choir","Orchestra Concert",47b644f2-0ed8-4cf3-8445-c7f2d9175359,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/ixwZt126hlhIkMR-cpE_uxVQDl4\/HhoODg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/ixwZt126hlhIkMR-cpE_uxVQDl4\/HhoODg..\/1785878.pdf""}]",,124,0.13,[[]],2024-12-03,,
776,1733358183061,b7d0dc33-c7dc-4f68-b21b-e6613463f000,b6ed8fc3-ee34-437a-8e1f-c6cfe11d7492,Accepted,2,0.08,0,"[""2024-12-04"",null]",2,,,"Soccer practice","Soccer practice",023fcb82-deee-43c2-ad0e-6ad91a15d36c,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/wOEtIs8MNqvHreP70y-ocUbTKpI\/yW7ZVg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/wOEtIs8MNqvHreP70y-ocUbTKpI\/yW7ZVg..\/1785878.pdf""}]",,124,0.08,[[]],2024-12-04,,
777,1733424188256,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,1,0.13,0,"[""2024-09-09"",null]",2,,,"Learned about JKL and got to know my peers","First Day of JKL",b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/x72a_bvhLEfsUR38faS6k4xAhsA\/azaKSg..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/x72a_bvhLEfsUR38faS6k4xAhsA\/azaKSg..\/1785878.pdf""}]",,130,0.13,[[]],2024-09-09,,
778,1733424345016,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,cafe5850-3e06-41ef-a3b6-e1a82c4eb17a,Accepted,1,0.19,0,"[""2024-10-05"",null]",3,,,"Helped dad helped move seats for a rental event","Dads Job",b6f167a2-6da2-424f-8cdd-e7f2d1f1743f,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/IaolYdVvs7YyOMOdt72Lc6v6LB4\/U20a2g..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/IaolYdVvs7YyOMOdt72Lc6v6LB4\/U20a2g..\/1785878.pdf""}]",,130,0.19,[[]],2024-10-05,,
779,1733433464165,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,1,0.13,0,"[""2024-09-11"",null]",2,,,"Played games with JKL peers","relay races",df3f61b0-8bd5-4c8c-a59a-d303aaba90d0,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/YXhISz4jdgYJ91WtwiEbNimZeq0\/xhMQEA..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/YXhISz4jdgYJ91WtwiEbNimZeq0\/xhMQEA..\/1785878.pdf""}]",,130,0.13,[[]],2024-09-11,,
780,1733433619091,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,1,0.13,0,"[""2024-09-16"",null]",2,,,"played two versions of rock,paper,scissors","rock,paper,scissors",df3f61b0-8bd5-4c8c-a59a-d303aaba90d0,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/_woEXNcXR5rHzo6ub7yAr8rnETA\/fVIElw..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/_woEXNcXR5rHzo6ub7yAr8rnETA\/fVIElw..\/1785878.pdf""}]",,130,0.13,[[]],2024-09-16,,
781,1733433740595,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,1,0.13,0,"[""2024-09-18"",null]",2,,,"learned about the importance of water, the differences of water, and decorating my own water bottle.","Water lesson",df3f61b0-8bd5-4c8c-a59a-d303aaba90d0,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/9aVUyYWgctpyAZfd93poM_9flf4\/C_C0TQ..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/9aVUyYWgctpyAZfd93poM_9flf4\/C_C0TQ..\/1785878.pdf""}]",,130,0.13,[[]],2024-09-18,,
782,1733433826915,e59a34ed-3c77-4cfd-a6fb-b94cf744c1e5,de8dfe8e-da73-4c85-91a1-8dee7e304ab1,Accepted,1,0.13,0,"[""2024-09-23"",null]",2,,,"Got to play several types of different games with friends.","Mini games",df3f61b0-8bd5-4c8c-a59a-d303aaba90d0,0,"[{""access"":""public"",""path"":""\/vault\/AL2geKri\/PXYCti3DSDDp9WBImjQSdlo_6Dk\/C80tcA..\/1785878.pdf"",""name"":""1785878.pdf"",""type"":""pdf"",""size"":56510,""mime"":""application\/pdf"",""meta"":{""validated"":false},""url"":""https:\/\/xhhj-j4qm-cxda.n7c.xano.io\/vault\/AL2geKri\/PXYCti3DSDDp9WBImjQSdlo_6Dk\/C80tcA..\/1785878.pdf""}]",,130,0.13,[[]],2024-09-23,,
